FID,PAR20CD,PAR20NM,PAR20NMW,LAD20CD,LAD20NM
1055,E04001096,Stanton Fitzwarren,,E06000030,Swindon
1056,E04001098,Wanborough,,E06000030,Swindon
1057,E04012609,Covingham,,E06000030,Swindon
1058,E04012662,Blunsdon,,E06000030,Swindon
1059,E04012663,Central Swindon North,,E06000030,Swindon
1060,E04012664,Central Swindon South,,E06000030,Swindon
1061,E04012665,Chiseldon,,E06000030,Swindon
1062,E04012666,Haydon Wick,,E06000030,Swindon
1063,E04012667,Highworth,,E06000030,Swindon
1064,E04012668,"Nythe, Eldene and Liden",,E06000030,Swindon
1065,E04012669,South Marston,,E06000030,Swindon
1066,E04012670,St Andrews,,E06000030,Swindon
1067,E04012671,Stratton St Margaret,,E06000030,Swindon
1068,E04012672,West Swindon,,E06000030,Swindon
1069,E04012673,Wroughton,,E06000030,Swindon
1070,E04001100,Ailsworth,,E06000031,Peterborough
1071,E04001101,Bainton,,E06000031,Peterborough
1072,E04010671,Nesbitt,,E06000047,County Durham
1073,E04001112,Maxey,,E06000031,Peterborough
1074,E04010672,Newbiggin,,E06000047,County Durham
1075,E04010662,Marwood,,E06000047,County Durham
1076,E04001113,Newborough,,E06000031,Peterborough
1077,E04010673,North Lodge,,E06000047,County Durham
1078,E04010663,Mickleton,,E06000047,County Durham
1079,E04001114,Northborough,,E06000031,Peterborough
1080,E04001309,Rookley,,E06000046,Isle of Wight
1081,E04010674,Ouston,,E06000047,County Durham
1082,E04010664,Middleton in Teesdale,,E06000047,County Durham
1083,E04001115,Orton Longueville,,E06000031,Peterborough
1084,E04001310,St Helens,,E06000046,Isle of Wight
1085,E04010675,Ovington,,E06000047,County Durham
1086,E04001116,Orton Waterville,,E06000031,Peterborough
1087,E04001311,Sandown,,E06000046,Isle of Wight
1088,E04010676,Pelton,,E06000047,County Durham
1089,E04001117,Peakirk,,E06000031,Peterborough
1090,E04001312,Shalfleet,,E06000046,Isle of Wight
1091,E04010677,Peterlee,,E06000047,County Durham
1092,E04001118,St. Martin's Without,,E06000031,Peterborough
1093,E04001313,Shanklin,,E06000046,Isle of Wight
